,City,Lat,Lon,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banda aceh,5.5528455,95.3192908,85.89,85.89,85.89,67,97,10.76,ID,1651459094
1,pacific grove,36.6211149,-121.9177944,54.21,51.67,63.05,81,0,10.36,US,1651458821
2,constitucion,-35.3318306,-72.4118998,52.29,52.29,52.29,73,2,6.62,CL,1651459095
3,hermanus,-34.4175,19.2361111,59.85,59.85,59.85,80,99,9.15,ZA,1651459096
4,thompson,55.743347,-97.863464,24.98,24.98,24.98,86,100,13.8,CA,1651459096
5,ushuaia,-54.806115899999995,-68.3184972880496,38.89,38.89,38.89,87,20,4.61,AR,1651459097
6,vaini,-21.1925671,-175.1772797,82.69,82.69,82.69,83,75,11.5,TO,1651459097
7,kapaa,22.0747334,-159.3191601,76.57,76.12,84.18,80,75,17.27,US,1651459098
8,abu kamal,34.4505112,40.9170588,65.89,65.89,65.89,64,0,17.43,SY,1651459099
9,lavrentiya,65.5837793,-171.0058116,17.29,17.29,17.29,78,9,10.42,RU,1651459099
10,tucuman,-26.8303703,-65.2038133,60.84,60.84,60.84,55,100,5.75,AR,1651459100
11,vila velha,-20.3297037,-40.2920174,75.94,75.94,78.75,79,0,8.05,BR,1651459100
12,port hardy,50.7244402,-127.4976081,49.93,46.56,49.98,81,100,5.75,CA,1651459101
13,rio gallegos,-51.64607595,-69.26322885452636,35.67,35.67,35.67,93,0,8.05,AR,1651459102
14,isangel,-19.5410863,169.2810885,81.43,81.43,81.43,80,94,10.58,VU,1651459103
15,bluff,-46.6014038,168.3398682,64.92,64.92,64.92,69,73,9.62,NZ,1651459103
16,busselton,-33.644499,115.3488754,67.84,67.84,67.84,74,84,8.19,AU,1651459104
17,mataura,-46.192734,168.8642685,64.47,64.47,64.47,56,23,4.79,NZ,1651459104
18,huilong,31.805682,121.6674363,70.95,70.95,70.95,54,88,12.06,CN,1651459105
19,quatre cocos,-20.2094657,57.7705601,74.21,73.65,74.21,86,2,6.35,MU,1651459106
20,leningradskiy,54.129108,79.236702,51.89,51.89,51.89,53,88,14.2,RU,1651459106
21,avarua,-21.2074736,-159.7708145,84.18,84.18,84.18,70,20,4.61,CK,1651459107
22,hilo,19.7073734,-155.0815803,71.19,71.04,77.2,97,100,6.91,US,1651459108
23,new norfolk,-42.7801998,147.0615332,65.25,63.14,69.53,58,100,1.99,AU,1651459108
24,arlit,18.739079,7.393331,81.12,81.12,81.12,12,8,10.09,NE,1651459109
25,chokurdakh,70.6193824,147.902397,32.27,32.27,32.27,91,39,11.1,RU,1651459109
26,maldonado,-34.9087162,-54.9582718,57.04,56.68,57.04,62,75,16.11,UY,1651459110
27,tyrma,50.043232,132.167542,52.21,52.21,52.21,42,100,0.04,RU,1651459111
28,atuona,-9.77932315,-139.06194910808324,68.58,68.58,68.58,82,100,14.88,PF,1651459111
29,bredasdorp,-34.533055,20.042778,54.81,54.81,54.81,94,96,4.94,ZA,1651459112
30,codrington,17.640463,-61.8255199,78.46,78.46,78.46,80,67,19.48,AG,1651459112
31,ribeira grande,37.8225227,-25.5194914,65.12,61.14,65.12,75,75,5.75,PT,1651459113
32,nyurba,63.286648,118.354149,29.64,29.64,29.64,47,59,13.56,RU,1651459114
33,carnarvon,-24.8826131,113.6576486,84.18,84.18,84.18,32,1,10.36,AU,1651459114
34,lebu,-37.6099644,-73.6559477,52.0,52.0,52.0,92,1,14.54,CL,1651459115
35,rikitea,-23.1229544,-134.9680141,76.46,76.46,76.46,71,100,5.32,PF,1651459115
36,tamandare,-8.7500009,-35.1045787,76.57,76.57,76.57,87,30,5.23,BR,1651459116
37,sesheke,-17.4809495,24.2944723,57.65,57.65,57.65,69,14,4.9,ZM,1651459117
38,sao filipe,14.8952963,-24.4969361,72.95,72.95,72.95,74,1,7.94,CV,1651459118
39,vikulovo,55.0748472,40.9568119,37.45,37.45,37.45,75,66,4.25,RU,1651459118
40,kidal,18.4408358,1.4075395,77.99,77.99,77.99,14,1,10.65,ML,1651459119
